log,name,latestChapter
2024-02-20 17:40:41.562745,Filiarose – The Crown of Thorns Prophecy,104
2024-02-20 17:40:41.562745,Genius of the Unique Lineage,53
2024-02-20 17:40:41.563741,He_s Not Just a Pretty Face,60
2024-02-20 17:40:41.563741,How to Clear a Dating Sim as a Side Character,117
2024-02-20 17:40:41.563741,I Tamed My Ex-Husband_s Mad Dog,63
2024-02-20 17:40:41.563741,Marronnier Farm Near by the Imperial Palace,63
2024-02-20 17:40:41.564740,Materialistic Princess,39
2024-02-20 17:40:41.564740,Melody of the Deadwood,85
2024-02-20 17:40:41.564740,MOONLIGHT LIBRARY,42
2024-02-20 17:40:41.564740,Please Don’t Come To The Villainess’ Stationery Store!,66
2024-02-20 17:40:41.564740,The Duchess_ Secret Writings,57
2024-02-20 17:40:41.565736,The Secret Life of a Certain Count’s Lady,73
2024-02-20 17:40:41.565736,What I Decided to Die For,95
2024-02-20 17:40:41.565736,"When I Quit Being A Wicked Mother-in-law, Everyone Became Obsessed With Me",53
