log,name,latestChapter
2024-02-20 17:38:46.866006,Filiarose – The Crown of Thorns Prophecy,104
2024-02-20 17:38:46.866006,Genius of the Unique Lineage,53
2024-02-20 17:38:46.866006,He_s Not Just a Pretty Face,60
2024-02-20 17:38:46.866006,How to Clear a Dating Sim as a Side Character,117
2024-02-20 17:38:46.866006,I Tamed My Ex-Husband_s Mad Dog,63
2024-02-20 17:38:46.866006,Marronnier Farm Near by the Imperial Palace,63
2024-02-20 17:38:46.867004,Materialistic Princess,39
2024-02-20 17:38:46.867004,Melody of the Deadwood,85
2024-02-20 17:38:46.867004,MOONLIGHT LIBRARY,42
2024-02-20 17:38:46.867004,Please Don’t Come To The Villainess’ Stationery Store!,66
2024-02-20 17:38:46.867004,The Duchess_ Secret Writings,57
2024-02-20 17:38:46.867004,The Secret Life of a Certain Count’s Lady,73
2024-02-20 17:38:46.867004,What I Decided to Die For,95
2024-02-20 17:38:46.867004,"When I Quit Being A Wicked Mother-in-law, Everyone Became Obsessed With Me",53
